mean_test_score,std_test_score,params
0.8910144927536232,0.009121919194328544,"{'C': 0.1, 'solver': 'newton-cg'}"
0.8913623188405797,0.008879978731068562,"{'C': 0.1, 'solver': 'lbfgs'}"
0.8755942028985506,0.011208662296678903,"{'C': 0.1, 'solver': 'liblinear'}"
0.8990144927536232,0.00775512649655216,"{'C': 0.5, 'solver': 'newton-cg'}"
0.8988985507246376,0.007338315315221624,"{'C': 0.5, 'solver': 'lbfgs'}"
0.8947246376811595,0.00982843800696705,"{'C': 0.5, 'solver': 'liblinear'}"
0.9012173913043477,0.00902264415459417,"{'C': 1, 'solver': 'newton-cg'}"
0.9013333333333333,0.009146937007914656,"{'C': 1, 'solver': 'lbfgs'}"
0.9005217391304349,0.00978045064763509,"{'C': 1, 'solver': 'liblinear'}"
0.9014492753623189,0.0082392292194504,"{'C': 5, 'solver': 'newton-cg'}"
0.9028405797101449,0.007808676285441263,"{'C': 5, 'solver': 'lbfgs'}"
0.9024927536231884,0.007935044003370974,"{'C': 5, 'solver': 'liblinear'}"
0.9017971014492753,0.008365520699152463,"{'C': 10, 'solver': 'newton-cg'}"
0.9021449275362319,0.008395996285324859,"{'C': 10, 'solver': 'lbfgs'}"
0.9031884057971015,0.008049416791981337,"{'C': 10, 'solver': 'liblinear'}"
